provider,model,cost_efficiency_score,context_efficiency_score,reasoning_depth_score,price_transparency_score,agent_overhead_risk,asf_token_efficiency,risk_band,primary_finding
OpenAI,GPT-4o,3,4,4,4,Medium,78,Medium,Strong balanced efficiency; moderate agent overhead risk
OpenAI,GPT-4o mini,5,3,2,5,Low,82,Low,Best cost efficiency in tier; limited reasoning depth
OpenAI,o3,1,3,5,3,High,61,High,Price reversal risk — reasoning tokens can 28x expected cost
OpenAI,o4-mini,3,3,4,3,Medium,72,Medium,Better reasoning/cost balance than o3
OpenAI,GPT-5,2,4,5,3,Medium,74,Medium,High output cost; strong reasoning; monitor agent usage
Anthropic,Claude Opus 4.6,1,5,5,4,Medium,68,High,Highest output cost in dataset; justified by 1M context + capability
Anthropic,Claude Sonnet 4.6,3,5,4,4,Low,81,Low,Best context/cost ratio in frontier tier; recommended default
Anthropic,Claude Haiku 4.5,5,4,2,5,Low,85,Low,Exceptional cost efficiency for high-volume tasks
Google,Gemini 1.5 Pro,4,5,4,4,Low,84,Low,1M context at competitive price; strong retrieval efficiency
Google,Gemini 1.5 Flash,5,5,2,5,Low,88,Low,Highest ASF efficiency score — ultra-low cost with long context
Google,Gemini 2.0 Pro,3,5,4,4,Medium,80,Low,Strong upgrade path from 1.5; monitor reasoning token usage
Google,Gemini 2.5 Flash,4,5,4,4,Medium,83,Low,Reasoning at Flash pricing — strong value proposition
DeepSeek,DeepSeek V3,5,3,4,4,Low,86,Low,Exceptional price disruption; lowest frontier input cost
DeepSeek,DeepSeek R1,4,3,5,4,High,74,Medium,Reasoning model with price reversal risk at scale
DeepSeek,DeepSeek V3.2,5,3,3,4,Low,87,Low,Best raw cost efficiency in dataset
xAI,Grok-2,3,3,4,3,Medium,72,Medium,Competitive but context window smaller than peers
xAI,Grok-2 mini,5,3,2,4,Low,79,Low,Good cost efficiency; limited reasoning
Mistral,Mistral Large,3,3,4,4,Low,76,Medium,European data sovereignty advantage; competitive pricing
Mistral,Mistral Small,5,3,2,5,Low,81,Low,Strong cost efficiency for European deployments
Mistral,Codestral,5,3,3,5,Low,82,Low,Specialized for code; strong cost efficiency
Meta,Llama 3.3 70B,5,3,3,5,Low,84,Low,Self-hosted = zero token cost; latency dependent on infra
Meta,Llama 3.1 405B,3,3,4,5,Medium,77,Medium,Largest open model; infra cost replaces token cost
